label	x	y	z
TP9	-0.8869	-0.2882	-0.3612
TP9h	-0.9349	-0.3038	-0.1837
TPP10	0.8309	-0.4233	-0.3612
TPP10h	0.8759	-0.4463	-0.1837
TPP7	-0.8910	-0.4540	0.0000
TPP7h	-0.8649	-0.4741	0.1649
TPP8	0.8910	-0.4540	0.0000
TPP8h	0.8649	-0.4741	0.1649
TPP9	-0.8309	-0.4233	-0.3612
TPP9h	-0.8759	-0.4463	-0.1837
TTP10	0.9210	-0.1459	-0.3612
TTP10h	0.9709	-0.1538	-0.1837
TTP7	-0.9877	-0.1564	0.0000
TTP7h	-0.9677	-0.1640	0.1917
TTP8	0.9877	-0.1564	0.0000
TTP8h	0.9677	-0.1640	0.1917
TTP9	-0.9210	-0.1459	-0.3612
TTP9h	-0.9709	-0.1538	-0.1837
